Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;5000;0.13907504081726074;707;1670;267;556;0.7428125;0.7258726899383984;0.5597783056215361;0.6320965578900313
SGDClassifier;5000;0.8381366729736328;773;1646;291;490;0.7559375;0.7265037593984962;0.6120348376880443;0.6643747314138376
LinearSVC;5000;0.16194796562194824;970;1599;338;293;0.8028125;0.7415902140672783;0.768012668250198;0.7545702061454687
GaussianNB;5000;0.6954948902130127;677;1685;252;586;0.738125;0.728740581270183;0.5360253365003959;0.6177007299270073
DecisionTreeClassifier;5000;27.52335262298584;1154;1558;379;109;0.8475;0.7527723418134377;0.9136975455265242;0.8254649499284692
RandomForestClassifier;5000;7.653453350067139;1095;1741;196;168;0.88625;0.8481797056545314;0.8669833729216152;0.8574784651527018
MLPClassifier;5000;237.43464541435242;1136;1590;347;127;0.851875;0.7660148347943359;0.89944576405384;0.8273852876911871
Logisticregression;5000;0.1216421127319336;714;1670;261;555;0.745;0.7323076923076923;0.5626477541371159;0.6363636363636365
SGDClassifier;5000;0.7895338535308838;936;1473;458;333;0.7528125;0.6714490674318508;0.7375886524822695;0.7029665790461884
LinearSVC;5000;0.15892529487609863;944;1587;344;325;0.7909375;0.7329192546583851;0.7438928289992119;0.7383652718028941
GaussianNB;5000;0.6940338611602783;627;1675;256;642;0.719375;0.710079275198188;0.4940898345153664;0.5827137546468402
DecisionTreeClassifier;5000;29.650426626205444;1172;1496;435;97;0.83375;0.7293092719352832;0.9235618597320725;0.8150208623087621
RandomForestClassifier;5000;6.412609815597534;1119;1698;233;150;0.8803125;0.8276627218934911;0.8817966903073287;0.8538725677222434
MLPClassifier;5000;270.0280759334564;1136;1575;356;133;0.8471875;0.7613941018766756;0.8951930654058313;0.8228902571532053
Logisticregression;5000;0.1201791763305664;703;1678;265;554;0.7440625;0.7262396694214877;0.5592680986475735;0.6319101123595505
SGDClassifier;5000;0.7905611991882324;775;1635;308;482;0.753125;0.7156048014773777;0.6165473349244233;0.6623931623931624
LinearSVC;5000;0.1374502182006836;938;1600;343;319;0.793125;0.73224043715847;0.7462211614956245;0.7391646966115051
GaussianNB;5000;0.5459485054016113;625;1683;260;632;0.72125;0.7062146892655368;0.4972155926809865;0.5835667600373483
DecisionTreeClassifier;5000;29.314038038253784;1142;1541;402;115;0.8384375;0.7396373056994818;0.9085123309466985;0.8154230631917172
RandomForestClassifier;5000;7.259197235107422;1061;1759;184;196;0.88125;0.8522088353413655;0.8440731901352426;0.8481215027977618
MLPClassifier;5000;245.5338282585144;1128;1593;350;129;0.8503125;0.7631935047361299;0.8973747016706444;0.8248628884826326
Logisticregression;5000;0.13932490348815918;673;1675;293;559;0.73375;0.6966873706004141;0.5462662337662337;0.6123748862602366
SGDClassifier;5000;0.8326489925384521;910;1475;493;322;0.7453125;0.6486101211689237;0.7386363636363636;0.6907020872865275
LinearSVC;5000;0.1606152057647705;909;1593;375;323;0.781875;0.7079439252336449;0.7378246753246753;0.7225755166931638
GaussianNB;5000;0.720257043838501;605;1675;293;627;0.7125;0.6737193763919822;0.49107142857142855;0.568075117370892
DecisionTreeClassifier;5000;26.629502296447754;1086;1589;379;146;0.8359375;0.741296928327645;0.8814935064935064;0.8053392658509454
RandomForestClassifier;5000;7.801568031311035;1027;1766;202;205;0.8728125;0.8356387306753458;0.8336038961038961;0.8346200731409994
MLPClassifier;5000;258.43119049072266;1074;1606;362;158;0.8375;0.7479108635097493;0.8717532467532467;0.8050974512743628
Logisticregression;5000;0.13797354698181152;723;1637;291;549;0.7375;0.7130177514792899;0.5683962264150944;0.6325459317585302
SGDClassifier;5000;0.8335123062133789;704;1676;252;568;0.74375;0.7364016736401674;0.5534591194968553;0.6319569120287254
LinearSVC;5000;0.1602785587310791;972;1589;339;300;0.8003125;0.7414187643020596;0.7641509433962265;0.7526132404181184
GaussianNB;5000;0.6869919300079346;665;1680;248;607;0.7328125;0.7283680175246441;0.5227987421383647;0.608695652173913
DecisionTreeClassifier;5000;28.36774230003357;1152;1496;432;120;0.8275;0.7272727272727273;0.9056603773584906;0.8067226890756303
RandomForestClassifier;5000;6.382326602935791;1119;1685;243;153;0.87625;0.8215859030837004;0.8797169811320755;0.8496583143507974
MLPClassifier;5000;270.5112900733948;1138;1586;342;134;0.85125;0.768918918918919;0.8946540880503144;0.8270348837209303
