Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;5000;0.13136696815490723;896;1618;308;378;0.785625;0.7441860465116279;0.7032967032967034;0.7231638418079095
SGDClassifier;5000;0.7251574993133545;1122;1356;570;152;0.774375;0.6631205673758865;0.880690737833595;0.7565745111260958
LinearSVC;5000;0.26237010955810547;1055;1550;376;219;0.8140625;0.7372466806429071;0.8281004709576139;0.7800369685767098
GaussianNB;5000;0.7529993057250977;1172;737;1189;102;0.5965625;0.4963998305802626;0.9199372056514914;0.6448418156808803
DecisionTreeClassifier;5000;30.362340450286865;1162;1450;476;112;0.81625;0.7094017094017094;0.9120879120879121;0.7980769230769231
RandomForestClassifier;5000;6.822871208190918;1133;1598;328;141;0.8534375;0.7754962354551677;0.8893249607535322;0.8285191956124314
MLPClassifier;5000;299.19009804725647;1154;1554;372;120;0.84625;0.7562254259501966;0.9058084772370487;0.8242857142857143
Logisticregression;5000;0.13958358764648438;905;1625;298;372;0.790625;0.7522859517871987;0.7086922474549726;0.7298387096774194
SGDClassifier;5000;0.7388014793395996;1061;1434;489;216;0.7796875;0.6845161290322581;0.8308535630383712;0.7506190307746728
LinearSVC;5000;0.2616698741912842;1056;1566;357;221;0.819375;0.7473460721868365;0.826938136256852;0.7851301115241635
GaussianNB;5000;0.8580536842346191;1172;692;1231;105;0.5825;0.4877236787349147;0.9177760375880971;0.6369565217391304
DecisionTreeClassifier;5000;28.918829679489136;1154;1474;449;123;0.82125;0.7199001871490954;0.9036805011746281;0.8013888888888889
RandomForestClassifier;5000;6.5498621463775635;1133;1572;351;144;0.8453125;0.7634770889487871;0.8872357086922474;0.8207171314741035
MLPClassifier;5000;306.46881127357483;1142;1550;373;135;0.84125;0.7537953795379538;0.894283476898982;0.8180515759312321
Logisticregression;5000;0.15040206909179688;901;1602;361;336;0.7821875;0.713946117274168;0.7283751010509296;0.7210884353741496
SGDClassifier;5000;0.7408792972564697;906;1620;343;331;0.789375;0.7253803042433947;0.7324171382376717;0.7288817377312952
LinearSVC;5000;0.24560832977294922;1036;1543;420;201;0.8059375;0.7115384615384616;0.8375101050929669;0.7694021537318976
GaussianNB;5000;0.8532233238220215;1144;744;1219;93;0.59;0.4841303427845959;0.9248181083265966;0.6355555555555555
DecisionTreeClassifier;5000;29.177370071411133;1119;1441;522;118;0.8;0.6819012797074955;0.904607922392886;0.7776233495482975
RandomForestClassifier;5000;7.315307855606079;1098;1594;369;139;0.84125;0.7484662576687117;0.8876313662085691;0.8121301775147929
MLPClassifier;5000;338.4004933834076;1115;1538;425;122;0.8290625;0.724025974025974;0.9013742926434923;0.8030248469571479
Logisticregression;5000;0.1398313045501709;877;1650;305;368;0.7896875;0.7419627749576988;0.704417670682731;0.7227029254223322
SGDClassifier;5000;0.7354319095611572;1008;1493;462;237;0.7815625;0.6857142857142857;0.8096385542168675;0.7425414364640884
LinearSVC;5000;0.2625141143798828;1037;1594;361;208;0.8221875;0.7417739628040058;0.8329317269076305;0.784714339765418
GaussianNB;5000;0.859821081161499;1132;774;1181;113;0.595625;0.48940769563337655;0.9092369477911647;0.6363125351320967
DecisionTreeClassifier;5000;29.325876712799072;1136;1516;439;109;0.82875;0.7212698412698413;0.9124497991967871;0.8056737588652483
RandomForestClassifier;5000;7.694282531738281;1081;1645;310;164;0.851875;0.7771387491013659;0.8682730923694779;0.8201820940819423
MLPClassifier;5000;244.20686626434326;1148;1528;427;97;0.83625;0.7288888888888889;0.9220883534136546;0.8141843971631205
Logisticregression;5000;0.13942289352416992;868;1636;304;392;0.7825;0.7406143344709898;0.6888888888888889;0.7138157894736843
SGDClassifier;5000;0.7382004261016846;853;1669;271;407;0.788125;0.7588967971530249;0.676984126984127;0.7156040268456377
LinearSVC;5000;0.2619898319244385;1041;1586;354;219;0.8209375;0.7462365591397849;0.8261904761904761;0.7841807909604519
GaussianNB;5000;0.8594422340393066;1153;755;1185;107;0.59625;0.4931565440547476;0.915079365079365;0.640911617565314
DecisionTreeClassifier;5000;29.395270586013794;1165;1444;496;95;0.8153125;0.7013847080072245;0.9246031746031746;0.7976720301266689
RandomForestClassifier;5000;6.470984697341919;1140;1578;362;120;0.849375;0.758988015978695;0.9047619047619048;0.8254887762490947
MLPClassifier;5000;244.65812706947327;1159;1575;365;101;0.854375;0.760498687664042;0.9198412698412698;0.8326149425287356
