Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;5000;0.14730000495910645;825;1677;295;403;0.781875;0.7366071428571429;0.6718241042345277;0.702725724020443
SGDClassifier;5000;0.757159948348999;609;1819;153;619;0.75875;0.7992125984251969;0.495928338762215;0.6120603015075377
LinearSVC;5000;0.24228739738464355;954;1621;351;274;0.8046875;0.7310344827586207;0.7768729641693811;0.753257007500987
GaussianNB;5000;0.8500850200653076;569;1768;204;659;0.7303125;0.7360931435963778;0.46335504885993484;0.5687156421789106
DecisionTreeClassifier;5000;27.94994306564331;1127;1535;437;101;0.831875;0.7205882352941176;0.9177524429967426;0.8073065902578795
RandomForestClassifier;5000;7.14557147026062;1098;1613;359;130;0.8471875;0.7536032944406315;0.8941368078175895;0.817877094972067
MLPClassifier;5000;339.2283489704132;1088;1670;302;140;0.861875;0.7827338129496403;0.8859934853420195;0.8311688311688311
Logisticregression;5000;0.13330650329589844;856;1629;332;383;0.7765625;0.7205387205387206;0.6908797417271993;0.7053976102183765
SGDClassifier;5000;0.7506604194641113;806;1677;284;433;0.7759375;0.7394495412844037;0.6505246166263116;0.6921425504508373
LinearSVC;5000;0.2720973491668701;982;1574;387;257;0.79875;0.7173119065010957;0.7925746569814366;0.7530674846625767
GaussianNB;5000;0.8447022438049316;573;1749;212;666;0.725625;0.729936305732484;0.46246973365617433;0.5662055335968379
DecisionTreeClassifier;5000;27.853516817092896;1133;1476;485;106;0.8153125;0.700247218788628;0.9144471347861178;0.7931396569828492
RandomForestClassifier;5000;6.738987922668457;1093;1579;382;146;0.835;0.7410169491525423;0.8821630347054076;0.8054532056005895
MLPClassifier;5000;342.04796719551086;1107;1611;350;132;0.849375;0.759780370624571;0.8934624697336562;0.8212166172106825
Logisticregression;5000;0.1303715705871582;868;1619;289;424;0.7771875;0.7502160760587727;0.6718266253869969;0.7088607594936709
SGDClassifier;5000;0.7217073440551758;1028;1491;417;264;0.7871875;0.7114186851211073;0.7956656346749226;0.7511874314943369
LinearSVC;5000;0.23231172561645508;1055;1583;325;237;0.824375;0.7644927536231884;0.81656346749226;0.7896706586826346
GaussianNB;5000;0.8471217155456543;593;1724;184;699;0.7240625;0.7631917631917632;0.45897832817337464;0.5732237796036733
DecisionTreeClassifier;5000;27.99693465232849;1166;1427;481;126;0.8103125;0.7079538554948391;0.9024767801857585;0.79346716570262
RandomForestClassifier;5000;6.122227907180786;1154;1543;365;138;0.8428125;0.7597103357472021;0.8931888544891641;0.8210601209533974
MLPClassifier;5000;341.59098196029663;1147;1589;319;145;0.855;0.7824010914051842;0.8877708978328174;0.8317621464829588
Logisticregression;5000;0.13106369972229004;851;1640;301;408;0.7784375;0.7387152777777778;0.675933280381255;0.7059311489008709
SGDClassifier;5000;0.7110583782196045;1119;1311;630;140;0.759375;0.6397941680960549;0.8888006354249405;0.7440159574468085
LinearSVC;5000;0.20215797424316406;1001;1580;361;258;0.8065625;0.7349486049926579;0.7950754567116759;0.7638305990080123
GaussianNB;5000;0.687514066696167;555;1719;222;704;0.710625;0.7142857142857143;0.44082605242255757;0.5451866404715129
DecisionTreeClassifier;5000;29.701517343521118;1159;1438;503;100;0.8115625;0.697352587244284;0.920571882446386;0.7935638479972612
RandomForestClassifier;5000;6.111712217330933;1117;1555;386;142;0.835;0.7431803060545575;0.8872120730738682;0.8088341781317887
MLPClassifier;5000;340.0642554759979;1122;1625;316;137;0.8584375;0.780250347705146;0.8911834789515488;0.8320355951056729
Logisticregression;5000;0.12952613830566406;856;1635;290;419;0.7784375;0.7469458987783595;0.6713725490196079;0.7071458075175547
SGDClassifier;5000;0.7157182693481445;845;1659;266;430;0.7825;0.7605760576057605;0.6627450980392157;0.7082984073763622
LinearSVC;5000;0.22864437103271484;1000;1570;355;275;0.803125;0.7380073800738007;0.7843137254901961;0.7604562737642585
GaussianNB;5000;0.7398045063018799;562;1724;201;713;0.714375;0.7365661861074705;0.4407843137254902;0.5515210991167812
DecisionTreeClassifier;5000;29.879028797149658;1158;1455;470;117;0.8165625;0.7113022113022113;0.908235294117647;0.7977953840854288
RandomForestClassifier;5000;6.288699388504028;1133;1597;328;142;0.853125;0.7754962354551677;0.8886274509803922;0.8282163742690057
MLPClassifier;5000;330.39448285102844;1161;1616;309;114;0.8678125;0.789795918367347;0.9105882352941177;0.8459016393442623
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;14527;0.482774019241333;914;1644;301;341;0.799375;0.7522633744855967;0.7282868525896414;0.7400809716599189
SGDClassifier;14527;2.43147873878479;1164;1273;672;91;0.7615625;0.6339869281045751;0.9274900398406375;0.7531543189906178
LinearSVC;14527;0.4320242404937744;1109;1588;357;146;0.8428125;0.7564802182810368;0.8836653386454183;0.8151414920984932
GaussianNB;14527;2.4081568717956543;1182;768;1177;73;0.609375;0.5010597710894447;0.9418326693227091;0.6541228555617045
DecisionTreeClassifier;14527;83.48444819450378;1174;1475;470;81;0.8278125;0.7141119221411192;0.9354581673306773;0.8099344601586755
RandomForestClassifier;14527;19.30911111831665;1122;1574;371;133;0.8425;0.7515070328198259;0.8940239043824701;0.8165938864628821
MLPClassifier;14527;985.8559076786041;1130;1548;397;125;0.836875;0.7400130975769482;0.900398406374502;0.8123652048885693
Logisticregression;14527;0.48217201232910156;934;1634;279;353;0.8025;0.7699917559769167;0.7257187257187258;0.7472
SGDClassifier;14527;2.642524242401123;966;1620;293;321;0.808125;0.767275615567911;0.7505827505827506;0.7588373919874312
LinearSVC;14527;0.6412315368652344;1093;1563;350;194;0.83;0.7574497574497574;0.8492618492618492;0.8007326007326008
GaussianNB;14527;3.4388465881347656;1222;738;1175;65;0.6125;0.5098039215686274;0.9494949494949495;0.6634093376764387
DecisionTreeClassifier;14527;81.62776827812195;1179;1427;486;108;0.814375;0.7081081081081081;0.916083916083916;0.798780487804878
RandomForestClassifier;14527;19.73701500892639;1152;1522;391;135;0.835625;0.7465975372650681;0.8951048951048951;0.8141342756183745
MLPClassifier;14527;1101.1913299560547;1154;1488;425;133;0.825625;0.7308423052564914;0.8966588966588966;0.8053035589672016
Logisticregression;14527;0.47639989852905273;916;1667;294;323;0.8071875;0.7570247933884298;0.7393058918482648;0.7480604328297266
SGDClassifier;14527;2.625389337539673;998;1586;375;241;0.8075;0.7268754552075747;0.8054882970137207;0.7641653905053598
LinearSVC;14527;0.6453428268432617;1056;1596;365;183;0.82875;0.7431386347642506;0.8523002421307506;0.7939849624060151
GaussianNB;14527;3.418353796005249;1167;792;1169;72;0.6121875;0.4995719178082192;0.9418886198547215;0.6528671328671329
DecisionTreeClassifier;14527;84.63190031051636;1146;1470;491;93;0.8175;0.7000610873549176;0.9249394673123487;0.7969401947148818
RandomForestClassifier;14527;20.380608320236206;1104;1598;363;135;0.844375;0.7525562372188139;0.8910411622276029;0.8159645232815964
MLPClassifier;14527;999.4040603637695;1112;1530;431;127;0.825625;0.7206740116655865;0.897497982243745;0.7994248741912294
Logisticregression;14527;0.4741799831390381;937;1619;311;333;0.79875;0.750801282051282;0.7377952755905511;0.744241461477363
SGDClassifier;14527;2.623558759689331;873;1676;254;397;0.7965625;0.774622892635315;0.6874015748031496;0.7284105131414268
LinearSVC;14527;0.6346580982208252;1099;1536;394;171;0.8234375;0.7361018084393838;0.8653543307086614;0.7955121245023524
GaussianNB;14527;3.405400514602661;1202;753;1177;68;0.6109375;0.505254308532997;0.9464566929133859;0.6588106330501506
DecisionTreeClassifier;14527;82.20915460586548;1179;1441;489;91;0.81875;0.7068345323741008;0.9283464566929134;0.8025867937372362
RandomForestClassifier;14527;18.27558708190918;1130;1557;373;140;0.8396875;0.7518296739853626;0.889763779527559;0.8150018031013343
MLPClassifier;14527;1096.7253861427307;1162;1478;452;108;0.825;0.7199504337050805;0.9149606299212598;0.8058252427184465
Logisticregression;14527;0.4745359420776367;909;1647;311;333;0.79875;0.7450819672131147;0.7318840579710145;0.7384240454914703
SGDClassifier;14527;2.6171202659606934;1106;1346;612;136;0.76625;0.6437718277066357;0.8904991948470209;0.7472972972972972
LinearSVC;14527;0.6754024028778076;1062;1575;383;180;0.8240625;0.7349480968858132;0.855072463768116;0.7904726460736883
GaussianNB;14527;3.397674083709717;1167;770;1188;75;0.6053125;0.49554140127388535;0.9396135265700483;0.6488740617180985
DecisionTreeClassifier;14527;78.49079608917236;1129;1464;494;113;0.8103125;0.6956253850893407;0.9090177133655395;0.7881326352530541
RandomForestClassifier;14527;18.61153292655945;1105;1560;398;137;0.8328125;0.7351962741184298;0.8896940418679549;0.8051001821493624
MLPClassifier;14527;1095.6244621276855;1128;1480;478;114;0.815;0.7023661270236613;0.9082125603864735;0.7921348314606741
